dataset,num_and_cat,instance_mean_rule_lux_ablation,instance_std_rule_lux_ablation,feature_mean_rule_lux_ablation,feature_std_rule_lux_ablation,instance_mean_rule_lux_pure,instance_std_rule_lux_pure,feature_mean_rule_lux_pure,feature_std_rule_lux_pure,instance_mean_rule_lux_proba,instance_std_rule_lux_proba,feature_mean_rule_lux_proba,feature_std_rule_lux_proba,instance_mean_rule_lux_shap,instance_std_rule_lux_shap,feature_mean_rule_lux_shap,feature_std_rule_lux_shap,instance_mean_rule_EXPLAN,instance_std_rule_EXPLAN,feature_mean_rule_EXPLAN,feature_std_rule_EXPLAN,instance_mean_rule_LORE,instance_std_rule_LORE,feature_mean_rule_LORE,feature_std_rule_LORE,instance_mean_rule_Anchor,instance_std_rule_Anchor,feature_mean_rule_Anchor,feature_std_rule_Anchor
yeast,mlp-nosuite,0.42322074872865173,0.23781640655467887,0.34404,0.2678296111751317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4634266620412549,0.21933451399948467,0.5481819047619046,0.2044722579722543,0.0005767012687427913,0.009786945068325916,0.0004,0.019995999599919982,0.4537728030114889,0.21886633893643537,0.560252380952381,0.19386044966825552,0.0,0.0,0.0,0.0
yeast,mlp-nosuite,0.42322074872865173,0.23781640655467887,0.34404,0.2678296111751317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4634266620412549,0.21933451399948467,0.5481819047619046,0.2044722579722543,0.0005767012687427913,0.009786945068325916,0.0004,0.019995999599919982,0.4537728030114889,0.21886633893643537,0.560252380952381,0.19386044966825552,0.0,0.0,0.0,0.0
rmftsa,mlp-nosuite,0.23130829344760187,0.29195099192611923,0.2572,0.3747641391595519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3008840631739871,0.3304358057740932,0.5884,0.3469660502124091,0.0,0.0,0.0,0.0,0.32763420517164915,0.34873460542090934,0.6172,0.34418622866117116,0.0,0.0,0.0,0.0
yeast,mlp-nosuite,0.42322074872865173,0.23781640655467887,0.34404,0.2678296111751317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4634266620412549,0.21933451399948467,0.5481819047619046,0.2044722579722543,0.0005767012687427913,0.009786945068325916,0.0004,0.019995999599919982,0.4537728030114889,0.21886633893643537,0.560252380952381,0.19386044966825552,0.0,0.0,0.0,0.0
rmftsa,mlp-nosuite,0.23130829344760187,0.29195099192611923,0.2572,0.3747641391595519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3008840631739871,0.3304358057740932,0.5884,0.3469660502124091,0.0,0.0,0.0,0.0,0.32763420517164915,0.34873460542090934,0.6172,0.34418622866117116,0.0,0.0,0.0,0.0
banknote-authentication,mlp-nosuite,0.04656310703634904,0.15029483592958953,0.07586666666666667,0.23790713407639638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14942785421022714,0.2111226817490684,0.5196666666666666,0.28811051120475745,0.14619288128939312,0.20022545353507476,0.6338666666666666,0.2622588712618804,0.23617410602186162,0.21805181033141663,0.816,0.1991080108885627,0.0,0.0,0.0,0.0
yeast,mlp-nosuite,0.42322074872865173,0.23781640655467887,0.34404,0.2678296111751317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4634266620412549,0.21933451399948467,0.5481819047619046,0.2044722579722543,0.0005767012687427913,0.009786945068325916,0.0004,0.019995999599919982,0.4537728030114889,0.21886633893643537,0.560252380952381,0.19386044966825552,0.0,0.0,0.0,0.0
rmftsa,mlp-nosuite,0.23130829344760187,0.29195099192611923,0.2572,0.3747641391595519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3008840631739871,0.3304358057740932,0.5884,0.3469660502124091,0.0,0.0,0.0,0.0,0.32763420517164915,0.34873460542090934,0.6172,0.34418622866117116,0.0,0.0,0.0,0.0
banknote-authentication,mlp-nosuite,0.04656310703634904,0.15029483592958953,0.07586666666666667,0.23790713407639638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14942785421022714,0.2111226817490684,0.5196666666666666,0.28811051120475745,0.14619288128939312,0.20022545353507476,0.6338666666666666,0.2622588712618804,0.23617410602186162,0.21805181033141663,0.816,0.1991080108885627,0.0,0.0,0.0,0.0
volcanoes-a2,mlp-nosuite,0.41687209008025167,0.09872522582191416,0.004266666666666667,0.05947563460032277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5342550385651902,0.22157150568534886,0.8725333333333332,0.3079989610372087,0.45347054785864516,0.26763307322136626,0.7126666666666666,0.2695584867478258,0.4357605804504852,0.1864343962677129,0.1892,0.38201661394935865,0.0,0.0,0.0,0.0
yeast,mlp-nosuite,0.42322074872865173,0.23781640655467887,0.34404,0.2678296111751317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4634266620412549,0.21933451399948467,0.5481819047619046,0.2044722579722543,0.0005767012687427913,0.009786945068325916,0.0004,0.019995999599919982,0.4537728030114889,0.21886633893643537,0.560252380952381,0.19386044966825552,0.0,0.0,0.0,0.0
rmftsa,mlp-nosuite,0.23130829344760187,0.29195099192611923,0.2572,0.3747641391595519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3008840631739871,0.3304358057740932,0.5884,0.3469660502124091,0.0,0.0,0.0,0.0,0.32763420517164915,0.34873460542090934,0.6172,0.34418622866117116,0.0,0.0,0.0,0.0
banknote-authentication,mlp-nosuite,0.04656310703634904,0.15029483592958953,0.07586666666666667,0.23790713407639638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14942785421022714,0.2111226817490684,0.5196666666666666,0.28811051120475745,0.14619288128939312,0.20022545353507476,0.6338666666666666,0.2622588712618804,0.23617410602186162,0.21805181033141663,0.816,0.1991080108885627,0.0,0.0,0.0,0.0
volcanoes-a2,mlp-nosuite,0.41687209008025167,0.09872522582191416,0.004266666666666667,0.05947563460032277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5342550385651902,0.22157150568534886,0.8725333333333332,0.3079989610372087,0.45347054785864516,0.26763307322136626,0.7126666666666666,0.2695584867478258,0.4357605804504852,0.1864343962677129,0.1892,0.38201661394935865,0.0,0.0,0.0,0.0
volcanoes-a3,mlp-nosuite,0.5036987049761674,0.03377510209335065,0.0164,0.12273700881695518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6694253541892904,0.07705268704585325,0.9348,0.22894459300596434,0.6010546943879427,0.07856520477727871,0.6173333333333333,0.2685136040418726,0.5200198186112293,0.0654090603917965,0.10706666666666667,0.30456354199265395,0.0,0.0,0.0,0.0
yeast,mlp-nosuite,0.42322074872865173,0.23781640655467887,0.34404,0.2678296111751317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4634266620412549,0.21933451399948467,0.5481819047619046,0.2044722579722543,0.0005767012687427913,0.009786945068325916,0.0004,0.019995999599919982,0.4537728030114889,0.21886633893643537,0.560252380952381,0.19386044966825552,0.0,0.0,0.0,0.0
rmftsa,mlp-nosuite,0.23130829344760187,0.29195099192611923,0.2572,0.3747641391595519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3008840631739871,0.3304358057740932,0.5884,0.3469660502124091,0.0,0.0,0.0,0.0,0.32763420517164915,0.34873460542090934,0.6172,0.34418622866117116,0.0,0.0,0.0,0.0
banknote-authentication,mlp-nosuite,0.04656310703634904,0.15029483592958953,0.07586666666666667,0.23790713407639638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14942785421022714,0.2111226817490684,0.5196666666666666,0.28811051120475745,0.14619288128939312,0.20022545353507476,0.6338666666666666,0.2622588712618804,0.23617410602186162,0.21805181033141663,0.816,0.1991080108885627,0.0,0.0,0.0,0.0
volcanoes-a2,mlp-nosuite,0.41687209008025167,0.09872522582191416,0.004266666666666667,0.05947563460032277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5342550385651902,0.22157150568534886,0.8725333333333332,0.3079989610372087,0.45347054785864516,0.26763307322136626,0.7126666666666666,0.2695584867478258,0.4357605804504852,0.1864343962677129,0.1892,0.38201661394935865,0.0,0.0,0.0,0.0
volcanoes-a3,mlp-nosuite,0.5036987049761674,0.03377510209335065,0.0164,0.12273700881695518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6694253541892904,0.07705268704585325,0.9348,0.22894459300596434,0.6010546943879427,0.07856520477727871,0.6173333333333333,0.2685136040418726,0.5200198186112293,0.0654090603917965,0.10706666666666667,0.30456354199265395,0.0,0.0,0.0,0.0
volcanoes-a4,mlp-nosuite,0.46938161726659383,0.14290124054522524,0.01813333333333333,0.11899609704150431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5716746166508355,0.17770828892834908,0.6284,0.43680925916112273,0.5645443844276605,0.16820288172378847,0.6702666666666666,0.2955002086857695,0.5158195913606715,0.16745173963735036,0.2196,0.38752527659495967,0.0,0.0,0.0,0.0
yeast,mlp-nosuite,0.42322074872865173,0.23781640655467887,0.34404,0.2678296111751317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4634266620412549,0.21933451399948467,0.5481819047619046,0.2044722579722543,0.0005767012687427913,0.009786945068325916,0.0004,0.019995999599919982,0.4537728030114889,0.21886633893643537,0.560252380952381,0.19386044966825552,0.0,0.0,0.0,0.0
rmftsa,mlp-nosuite,0.23130829344760187,0.29195099192611923,0.2572,0.3747641391595519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3008840631739871,0.3304358057740932,0.5884,0.3469660502124091,0.0,0.0,0.0,0.0,0.32763420517164915,0.34873460542090934,0.6172,0.34418622866117116,0.0,0.0,0.0,0.0
banknote-authentication,mlp-nosuite,0.04656310703634904,0.15029483592958953,0.07586666666666667,0.23790713407639638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14942785421022714,0.2111226817490684,0.5196666666666666,0.28811051120475745,0.14619288128939312,0.20022545353507476,0.6338666666666666,0.2622588712618804,0.23617410602186162,0.21805181033141663,0.816,0.1991080108885627,0.0,0.0,0.0,0.0
volcanoes-a2,mlp-nosuite,0.41687209008025167,0.09872522582191416,0.004266666666666667,0.05947563460032277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5342550385651902,0.22157150568534886,0.8725333333333332,0.3079989610372087,0.45347054785864516,0.26763307322136626,0.7126666666666666,0.2695584867478258,0.4357605804504852,0.1864343962677129,0.1892,0.38201661394935865,0.0,0.0,0.0,0.0
volcanoes-a3,mlp-nosuite,0.5036987049761674,0.03377510209335065,0.0164,0.12273700881695518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6694253541892904,0.07705268704585325,0.9348,0.22894459300596434,0.6010546943879427,0.07856520477727871,0.6173333333333333,0.2685136040418726,0.5200198186112293,0.0654090603917965,0.10706666666666667,0.30456354199265395,0.0,0.0,0.0,0.0
volcanoes-a4,mlp-nosuite,0.46938161726659383,0.14290124054522524,0.01813333333333333,0.11899609704150431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5716746166508355,0.17770828892834908,0.6284,0.43680925916112273,0.5645443844276605,0.16820288172378847,0.6702666666666666,0.2955002086857695,0.5158195913606715,0.16745173963735036,0.2196,0.38752527659495967,0.0,0.0,0.0,0.0
